search_term,spotify_id,name,popularity,followers,genres,spotify_url,image_url
Bad Bunny,4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,97331587,"reggaeton, trap latino, urbano latino",https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
Bad Bunny,3TVXtAsR1Inumwj472S9r4,Drake,98,99682604,rap,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Bad Bunny,2iy04gCg6eF6AKZfDhGhhW,DJ BAD BUNNY,32,2,,https://open.spotify.com/artist/2iy04gCg6eF6AKZfDhGhhW,https://i.scdn.co/image/ab67616d0000b273e9174711acbea91ef792ea6c
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,92,83064637,,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36
Justin Bieber,3TVXtAsR1Inumwj472S9r4,Drake,98,99682604,rap,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Justin Bieber,31TPClRtHm23RisEBtV3X7,Justin Timberlake,85,15462360,,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7,https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e
Beyoncé,6vWDO969PvNqNYHIOW5v0m,Beyoncé,89,40532487,,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
Beyoncé,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,93,67409431,,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,https://i.scdn.co/image/ab6761610000e5eb373e1be0410d4212bf72acab
Beyoncé,7vbtWyaqcB8RlHqqIKlHCU,Mc Beyonce,37,76278,brazilian funk,https://open.spotify.com/artist/7vbtWyaqcB8RlHqqIKlHCU,https://i.scdn.co/image/ab67616d0000b273a309988693e9c0ec23532a9a
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,93,67409431,,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,https://i.scdn.co/image/ab6761610000e5eb373e1be0410d4212bf72acab
Rihanna,1EI0NtLHoh9KBziYCeN1vM,Rhiannon Giddens,52,169146,"folk, americana, southern gothic",https://open.spotify.com/artist/1EI0NtLHoh9KBziYCeN1vM,https://i.scdn.co/image/ab6761610000e5eb53c81e9caceb62ce9a6a6f76
Rihanna,1Y1SeMq5T5Rj953tsDWPCL,Rihanna Shepherd,6,162,,https://open.spotify.com/artist/1Y1SeMq5T5Rj953tsDWPCL,https://i.scdn.co/image/ab67616d0000b27365603de00ba0d171154d6738
Eminem,7dGJo4pcD2V6oG8kP0tJRR,Eminem,92,101754929,"rap, hip hop",https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
Eminem,16SfgOBulDFXWORWr5d3qq,Eminem,0,1604,,https://open.spotify.com/artist/16SfgOBulDFXWORWr5d3qq,https://i.scdn.co/image/ab67616d0000b2737999b090c18df4d3b2e206db
Eminem,1Mkc7HxpbpZL1v9gGwCkj4,La Eminencia,44,5261,"cumbia norteña, tejano, norteño",https://open.spotify.com/artist/1Mkc7HxpbpZL1v9gGwCkj4,https://i.scdn.co/image/ab6761610000e5eb1e1f16e9a52b9a956072dbb6
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,93,72975150,,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd
Bruno Mars,3TVXtAsR1Inumwj472S9r4,Drake,98,99682604,rap,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Bruno Mars,5JXhkyafynxCvxtov7C1PV,Bruno & Marrone,76,6526450,"sertanejo, sertanejo tradicional, sertanejo universitário",https://open.spotify.com/artist/5JXhkyafynxCvxtov7C1PV,https://i.scdn.co/image/ab6761610000e5eb83a8b4c40136cada4b083185
